Path,n
1960-Male-Article-Other-SingleAuthored,12
1960-Male-Article-TopPublisher-SingleAuthored,12
1960-Male-Book-Other-CoAuthored-MaleCoAuthor,7
1960-Male-Book-Other-SingleAuthored,46
1960-Male-Book-TopPublisher-CoAuthored-MaleCoAuthor,3
1960-Male-Book-TopPublisher-SingleAuthored,16
1960-Female-Article-Other-SingleAuthored,1
1960-Female-Book-Other-CoAuthored-MaleCoAuthor,5
1960-Female-Book-Other-SingleAuthored,2
1970-Male-Article-Other-CoAuthored-MaleCoAuthor,1
1970-Male-Article-Other-SingleAuthored,31
1970-Male-Article-TopPublisher-CoAuthored-MaleCoAuthor,6
1970-Male-Article-TopPublisher-SingleAuthored,25
1970-Male-Book-Other-CoAuthored-MaleCoAuthor,21
1970-Male-Book-Other-SingleAuthored,103
1970-Male-Book-TopPublisher-CoAuthored-MaleCoAuthor,3
1970-Male-Book-TopPublisher-SingleAuthored,56
1970-Female-Article-Other-SingleAuthored,5
1970-Female-Article-TopPublisher-CoAuthored-MaleCoAuthor,1
1970-Female-Book-Other-CoAuthored-MaleCoAuthor,3
1970-Female-Book-Other-SingleAuthored,5
1970-Female-Book-TopPublisher-CoAuthored-MaleCoAuthor,1
1970-Female-Book-TopPublisher-SingleAuthored,11
1980-Male-Article-Other-CoAuthored-MaleCoAuthor,9
1980-Male-Article-Other-SingleAuthored,85
1980-Male-Article-TopPublisher-CoAuthored-MaleCoAuthor,17
1980-Male-Article-TopPublisher-SingleAuthored,93
1980-Male-Book-Other-CoAuthored-MaleCoAuthor,50
1980-Male-Book-Other-SingleAuthored,197
1980-Male-Book-TopPublisher-CoAuthored-MaleCoAuthor,13
1980-Male-Book-TopPublisher-SingleAuthored,132
1980-Female-Article-Other-CoAuthored-MaleCoAuthor,1
1980-Female-Article-Other-SingleAuthored,15
1980-Female-Article-TopPublisher-CoAuthored-MaleCoAuthor,6
1980-Female-Article-TopPublisher-SingleAuthored,3
1980-Female-Book-Other-CoAuthored-MaleCoAuthor,11
1980-Female-Book-Other-CoAuthored-FemaleCoAuthor,2
1980-Female-Book-Other-SingleAuthored,20
1980-Female-Book-TopPublisher-CoAuthored-MaleCoAuthor,6
1980-Female-Book-TopPublisher-SingleAuthored,8
1990-Male-Article-Other-CoAuthored-MaleCoAuthor,68
1990-Male-Article-Other-SingleAuthored,330
1990-Male-Article-TopPublisher-CoAuthored-MaleCoAuthor,65
1990-Male-Article-TopPublisher-SingleAuthored,206
1990-Male-Book-Other-CoAuthored-MaleCoAuthor,117
1990-Male-Book-Other-SingleAuthored,480
1990-Male-Book-TopPublisher-CoAuthored-MaleCoAuthor,117
1990-Male-Book-TopPublisher-SingleAuthored,458
1990-Female-Article-Other-CoAuthored-MaleCoAuthor,22
1990-Female-Article-Other-CoAuthored-FemaleCoAuthor,3
1990-Female-Article-Other-SingleAuthored,58
1990-Female-Article-TopPublisher-CoAuthored-MaleCoAuthor,37
1990-Female-Article-TopPublisher-CoAuthored-FemaleCoAuthor,8
1990-Female-Article-TopPublisher-SingleAuthored,41
1990-Female-Book-Other-CoAuthored-MaleCoAuthor,29
1990-Female-Book-Other-CoAuthored-FemaleCoAuthor,10
1990-Female-Book-Other-SingleAuthored,69
1990-Female-Book-TopPublisher-CoAuthored-MaleCoAuthor,35
1990-Female-Book-TopPublisher-CoAuthored-FemaleCoAuthor,6
1990-Female-Book-TopPublisher-SingleAuthored,76
2000-Male-Article-Other-CoAuthored-MaleCoAuthor,285
2000-Male-Article-Other-SingleAuthored,1245
2000-Male-Article-TopPublisher-CoAuthored-MaleCoAuthor,121
2000-Male-Article-TopPublisher-SingleAuthored,361
2000-Male-Book-Other-CoAuthored-MaleCoAuthor,222
2000-Male-Book-Other-SingleAuthored,959
2000-Male-Book-TopPublisher-CoAuthored-MaleCoAuthor,295
2000-Male-Book-TopPublisher-SingleAuthored,968
2000-Female-Article-Other-CoAuthored-MaleCoAuthor,139
2000-Female-Article-Other-CoAuthored-FemaleCoAuthor,34
2000-Female-Article-Other-SingleAuthored,320
2000-Female-Article-TopPublisher-CoAuthored-MaleCoAuthor,77
2000-Female-Article-TopPublisher-CoAuthored-FemaleCoAuthor,13
2000-Female-Article-TopPublisher-SingleAuthored,105
2000-Female-Book-Other-CoAuthored-MaleCoAuthor,58
2000-Female-Book-Other-CoAuthored-FemaleCoAuthor,22
2000-Female-Book-Other-SingleAuthored,129
2000-Female-Book-TopPublisher-CoAuthored-MaleCoAuthor,120
2000-Female-Book-TopPublisher-CoAuthored-FemaleCoAuthor,13
2000-Female-Book-TopPublisher-SingleAuthored,236
2010-Male-Article-Other-CoAuthored-MaleCoAuthor,248
2010-Male-Article-Other-SingleAuthored,698
2010-Male-Article-TopPublisher-CoAuthored-MaleCoAuthor,41
2010-Male-Article-TopPublisher-SingleAuthored,108
2010-Male-Book-Other-CoAuthored-MaleCoAuthor,95
2010-Male-Book-Other-SingleAuthored,418
2010-Male-Book-TopPublisher-CoAuthored-MaleCoAuthor,147
2010-Male-Book-TopPublisher-SingleAuthored,485
2010-Female-Article-Other-CoAuthored-MaleCoAuthor,175
2010-Female-Article-Other-CoAuthored-FemaleCoAuthor,33
2010-Female-Article-Other-SingleAuthored,209
2010-Female-Article-TopPublisher-CoAuthored-MaleCoAuthor,26
2010-Female-Article-TopPublisher-CoAuthored-FemaleCoAuthor,6
2010-Female-Article-TopPublisher-SingleAuthored,26
2010-Female-Book-Other-CoAuthored-MaleCoAuthor,43
2010-Female-Book-Other-CoAuthored-FemaleCoAuthor,5
2010-Female-Book-Other-SingleAuthored,56
2010-Female-Book-TopPublisher-CoAuthored-MaleCoAuthor,35
2010-Female-Book-TopPublisher-CoAuthored-FemaleCoAuthor,16
2010-Female-Book-TopPublisher-SingleAuthored,106
